seed,trial,original_action,q_margin,saliency_values,changed,faithful_top_salient,faithful_least_salient,faithful_random
0,88,3,0.014235496520996094,"[0.928122341632843, 0.7420523762702942, 1.0769224166870117]","[True, True, False]",False,True,True
0,89,3,0.025747299194335938,"[1.1246566772460938, 1.1191189289093018, 1.1644738912582397]","[True, False, True]",True,False,True
0,90,3,0.22902965545654297,"[0.8951241374015808, 1.0617504119873047, 1.3614002466201782]","[True, False, False]",False,True,False
0,91,0,0.023344993591308594,"[0.9780170917510986, 0.9687194228172302, 1.1083906888961792]","[True, False, True]",True,False,False
0,92,3,1.9403009414672852,"[1.0106626749038696, 0.9632405638694763, 1.7376881837844849]","[False, False, True]",True,False,True
0,93,3,0.06842613220214844,"[0.9891749024391174, 1.234327793121338, 1.1182661056518555]","[True, True, False]",True,True,True
0,94,3,0.06367111206054688,"[1.2036150693893433, 0.9570127725601196, 0.9318057298660278]","[False, False, False]",False,False,False
0,95,3,0.16043567657470703,"[1.147978663444519, 1.1126039028167725, 1.235934853553772]","[False, False, False]",False,False,False
0,96,0,1.2050342559814453,"[1.35483980178833, 1.4590386152267456, 0.9060826301574707]","[False, True, False]",True,False,False
0,97,3,0.10526657104492188,"[0.591349720954895, 1.006582260131836, 1.0074570178985596]","[False, False, False]",False,False,False
0,98,0,1.4845457077026367,"[1.0130213499069214, 1.5535262823104858, 1.183101773262024]","[False, False, False]",False,False,False
0,99,3,0.06809043884277344,"[0.977247953414917, 1.259029746055603, 1.100429892539978]","[False, False, False]",False,False,False
1,0,3,0.18781089782714844,"[1.155564308166504, 1.004542350769043, 0.9669858813285828]","[False, False, False]",False,False,False
1,1,0,0.29929542541503906,"[0.8598055839538574, 1.1786019802093506, 0.6372839212417603]","[False, False, False]",False,False,False
1,2,3,0.2296009063720703,"[1.0852034091949463, 0.9193353056907654, 0.9400445818901062]","[False, False, False]",False,False,False
1,3,3,1.0489225387573242,"[1.3148473501205444, 0.6350799202919006, 1.640287160873413]","[False, False, True]",True,False,False
1,4,0,0.13918113708496094,"[0.8713656663894653, 1.6118533611297607, 1.042475938796997]","[False, True, False]",True,False,True
1,5,0,1.6804327964782715,"[1.65569007396698, 1.8254414796829224, 2.4148032665252686]","[False, False, True]",True,False,False
1,6,3,0.05922412872314453,"[0.9509401917457581, 0.9480732083320618, 1.3860656023025513]","[False, False, False]",False,False,False
1,7,3,0.06101226806640625,"[1.0516875982284546, 0.7242021560668945, 0.9030203819274902]","[False, True, False]",False,True,True
1,8,3,0.23122692108154297,"[1.2913721799850464, 1.1121094226837158, 0.9929136037826538]","[False, False, False]",False,False,False
1,9,0,1.225438117980957,"[1.1583861112594604, 0.9586136937141418, 0.14288994669914246]","[False, False, True]",False,True,False
1,10,1,0.35973072052001953,"[9.064981460571289, 7.221507549285889, 11.63156795501709]","[True, True, True]",True,True,True
1,11,3,0.07167911529541016,"[0.8844778537750244, 0.9937427043914795, 1.6910704374313354]","[False, True, False]",False,False,True
1,12,3,0.03336524963378906,"[1.0141732692718506, 1.2631415128707886, 0.8020059466362]","[False, True, False]",True,False,False
1,13,3,0.1313190460205078,"[1.0931012630462646, 1.2426544427871704, 1.3290988206863403]","[False, True, False]",False,False,False
1,14,3,0.25209808349609375,"[0.9711704850196838, 1.0073434114456177, 1.3918284177780151]","[False, False, False]",False,False,False
1,15,3,0.1956195831298828,"[1.1731523275375366, 1.0293904542922974, 1.18584406375885]","[False, False, False]",False,False,False
1,16,3,0.3131866455078125,"[1.6399425268173218, 0.6845120191574097, 1.0008620023727417]","[False, False, False]",False,False,False
1,17,0,1.1428508758544922,"[1.0351192951202393, 0.8695116639137268, 0.9454351663589478]","[False, True, False]",False,True,False
